from,to
SLC25A25-AS1,IDH1
SLC25A25-AS1,TRAP1
SLC25A25-AS1,EPB41L1
SLC25A25-AS1,TULP3
SLC25A25-AS1,ITGB4
SLC25A25-AS1,ERRFI1
SLC25A25-AS1,SPAG16
SLC25A25-AS1,SKI
SLC25A25-AS1,PLCD3
SLC25A25-AS1,KREMEN1
SLC25A25-AS1,PRPF3
SLC25A25-AS1,MTATP6P1
SLC25A25-AS1,SQSTM1
SLC25A25-AS1,ASS1
SLC25A25-AS1,CLCN7
SLC25A25-AS1,ITGA2
SLC25A25-AS1,RIPOR1
SLC25A25-AS1,OCLN
SLC25A25-AS1,HNF1A
SLC25A25-AS1,TNIP1
SLC25A25-AS1,PLXNB2
SLC25A25-AS1,GATAD1
SLC25A25-AS1,CTSZ
SLC25A25-AS1,SURF2
SLC25A25-AS1,LRRC8A
SLC25A25-AS1,AKR1C2
SLC25A25-AS1,NAPA
SLC25A25-AS1,SERHL2
SLC25A25-AS1,SIRT1
SLC25A25-AS1,SRP9
SLC25A25-AS1,LIMA1
SLC25A25-AS1,DNAJB1
SLC25A25-AS1,SCAF1
SLC25A25-AS1,PRPF8
SLC25A25-AS1,TRIM29
SLC25A25-AS1,CPEB3
SLC25A25-AS1,CD55
SLC25A25-AS1,RN7SL2
SLC25A25-AS1,EDEM1
SLC25A25-AS1,BCL3
SLC25A25-AS1,NPC1L1
SLC25A25-AS1,AZIN2
SLC25A25-AS1,AQR
SLC25A25-AS1,PHLDB1
SLC25A25-AS1,NIPBL
SLC25A25-AS1,ANO1
SLC25A25-AS1,TCHP
SLC25A25-AS1,BHLHE41
SLC25A25-AS1,IVNS1ABP
SLC25A25-AS1,INTS11
SLC25A25-AS1,RPS6KA4
SLC25A25-AS1,ALDH1A1
SLC25A25-AS1,PAPSS2
SLC25A25-AS1,ANAPC2
SLC25A25-AS1,SSTR5-AS1
SLC25A25-AS1,TAX1BP1
SLC25A25-AS1,ARHGAP29
SLC25A25-AS1,IFRD1
SLC25A25-AS1,ITGB5
SLC25A25-AS1,TMEM14C
SLC25A25-AS1,ISG20L2
SLC25A25-AS1,LRIG1
SLC25A25-AS1,ND6
SLC25A25-AS1,BAG5
SLC25A25-AS1,HMGCS1
SLC25A25-AS1,EZH2
SLC25A25-AS1,TAGLN2
SLC25A25-AS1,NELFB
SLC25A25-AS1,C1QBP
SLC25A25-AS1,COX14
SLC25A25-AS1,ACP6
SLC25A25-AS1,SLAIN2
SLC25A25-AS1,ERGIC2
SLC25A25-AS1,RWDD1
SLC25A25-AS1,USP22
SLC25A25-AS1,ATP1A1
SLC25A25-AS1,RPS8
SLC25A25-AS1,SEMA3B
SLC25A25-AS1,DDX5
SLC25A25-AS1,SNX16
SLC25A25-AS1,PRRG2
SLC25A25-AS1,TET3
SLC25A25-AS1,RPL39
SLC25A25-AS1,SMARCC1
SLC25A25-AS1,OCIAD2
SLC25A25-AS1,USP47
SLC25A25-AS1,METTL4
SLC25A25-AS1,CAMSAP3
SLC25A25-AS1,MYOM3
SLC25A25-AS1,SLC27A4
SLC25A25-AS1,ENDOD1
SLC25A25-AS1,TMEM147
SLC25A25-AS1,TMEM245
SLC25A25-AS1,NCOA2
SLC25A25-AS1,COBLL1
SLC25A25-AS1,HELZ2
SLC25A25-AS1,SLC25A3
SLC25A25-AS1,PLK3
SLC25A25-AS1,BTN3A1
SLC25A25-AS1,UNC5B
SLC25A25-AS1,TMEM141
SLC25A25-AS1,RARRES3
SLC25A25-AS1,HSP90AB1
SLC25A25-AS1,TUBA4A
SLC25A25-AS1,MAGT1
SLC25A25-AS1,KIAA0513
SLC25A25-AS1,AQP5
SLC25A25-AS1,DDX21
SLC25A25-AS1,ARNTL2
SLC25A25-AS1,LINC01963
SLC25A25-AS1,HIP1R
SLC25A25-AS1,FGD1
SLC25A25-AS1,PMS2P10
SLC25A25-AS1,PCYOX1L
SLC25A25-AS1,TRIM33
SLC25A25-AS1,HNRNPH2
SLC25A25-AS1,KLF2
SLC25A25-AS1,TMEM39A
SLC25A25-AS1,SFSWAP
SLC25A25-AS1,ZFAS1
SLC25A25-AS1,CUTA
SLC25A25-AS1,RAB20
SLC25A25-AS1,GLIS3
SLC25A25-AS1,USP54
SLC25A25-AS1,KPNA6
SLC25A25-AS1,NACC2
SLC25A25-AS1,CGN
SLC25A25-AS1,TRIM14
SLC25A25-AS1,STAG3L1
SLC25A25-AS1,LAMC1
SLC25A25-AS1,XRCC5
SLC25A25-AS1,UNK
SLC25A25-AS1,ITGB6
SLC25A25-AS1,OGT
SLC25A25-AS1,HHLA2
SLC25A25-AS1,XRCC6
SLC25A25-AS1,EMC7
SLC25A25-AS1,RBM39
SLC25A25-AS1,MRFAP1
SLC25A25-AS1,CNOT3
SLC25A25-AS1,EIF5A
SLC25A25-AS1,HSPA9
SLC25A25-AS1,SPTBN1
SLC25A25-AS1,TRPV6
SLC25A25-AS1,FOS
SLC25A25-AS1,ATXN2L
SLC25A25-AS1,RNR2
SLC25A25-AS1,COX3
SLC25A25-AS1,ND4
SLC25A25-AS1,ACTG1
SLC25A25-AS1,KRT8
SLC25A25-AS1,CYTB
SLC25A25-AS1,EEF1A1
SLC25A25-AS1,COX1
SLC25A25-AS1,GAPDH
SLC25A25-AS1,FTL
SLC25A25-AS1,RPS19
SLC25A25-AS1,RPL7A
SLC25A25-AS1,RPL4
SLC25A25-AS1,RPL13A
SLC25A25-AS1,RPSA
SLC25A25-AS1,VCP
SLC25A25-AS1,RPS11
SLC25A25-AS1,RPL19
SLC25A25-AS1,RPLP0
SLC25A25-AS1,RPLP1
SLC25A25-AS1,RPS5
SLC25A25-AS1,LDHA
SLC25A25-AS1,VDAC1
SLC25A25-AS1,RPL18
SLC25A25-AS1,RPL5
SLC25A25-AS1,RPS16
SLC25A25-AS1,TPI1
SLC25A25-AS1,C9
SLC25A25-AS1,SMOC2
SLC25A25-AS1,DMC1
SLC25A25-AS1,MECOM
SLC25A25-AS1,CREB3L3
SLC25A25-AS1,ITGAL
SLC25A25-AS1,MTMR7
SLC25A25-AS1,TMEM156
SLC25A25-AS1,ANKRD60
SLC25A25-AS1,LBP
SLC25A25-AS1,MYO18B
SLC25A25-AS1,VRTN
SLC25A25-AS1,ARHGAP20
SLC25A25-AS1,CORIN
SLC25A25-AS1,FSTL1
SLC25A25-AS1,FABP1
SLC25A25-AS1,PTX3
SLC25A25-AS1,DUX4L33
SLC25A25-AS1,LINC02550
SLC25A25-AS1,FGF7P6
SLC25A25-AS1,NKX1-2
SLC25A25-AS1,SNAP23P1
SLC25A25-AS1,ERVH48-1
SLC25A25-AS1,KRTAP5-AS1
SLC25A25-AS1,PKMP1
SLC25A25-AS1,COX5BP6
SLC25A25-AS1,CATIP-AS2
SLC25A25-AS1,LRRD1
SLC25A25-AS1,ROPN1L-AS1
SLC25A25-AS1,PCDHA12
SLC25A25-AS1,LIMS3
SLC25A25-AS1,LINC00519
SLC25A25-AS1,SNORA59B
SLC25A25-AS1,RN7SL619P
SLC25A25-AS1,SLC25A36P1
SLC25A25-AS1,SHANK2-AS1
SLC25A25-AS1,LRTM2
SLC25A25-AS1,GAPDHP14
SLC25A25-AS1,LINC01679
SLC25A25-AS1,ARHGEF26-AS1
SLC25A25-AS1,RN7SL487P
SLC25A25-AS1,RNU6-118P
SLC25A25-AS1,SCARNA21
SLC25A25-AS1,ENPP7P12
SLC25A25-AS1,ZBED6
SLC25A25-AS1,CAP2P1
SLC25A25-AS1,SH3GL1P2
SLC25A25-AS1,NARF-AS1
SLC25A25-AS1,SNRPGP4
SLC25A25-AS1,HIST1H2BM
SLC25A25-AS1,KLHL30-AS1
SLC25A25-AS1,RBP1
SLC25A25-AS1,TPT1
SLC25A25-AS1,LINC01725
SLC25A25-AS1,STARD13-IT1
SLC25A25-AS1,FGG
SLC25A25-AS1,RBM44
SLC25A25-AS1,MAF
SLC25A25-AS1,PAPPA
SLC25A25-AS1,HIST1H3J
SLC25A25-AS1,HMGN5
SLC25A25-AS1,SMOC1
SLC25A25-AS1,RNU12-2P
SLC25A25-AS1,YWHAZP4
SLC25A25-AS1,LINC00612
SLC25A25-AS1,SNORD71
SLC25A25-AS1,LINC00853
SLC25A25-AS1,ACTG1P24
SLC25A25-AS1,BACH1-IT2
SLC25A25-AS1,MTND1P9
SLC25A25-AS1,ACAP2-IT1
SLC25A25-AS1,RPS14
SLC25A25-AS1,GAPDHP32
SLC25A25-AS1,DRD4
SLC25A25-AS1,BGLAP
SLC25A25-AS1,CTNNA2
SLC25A25-AS1,PAGE1
SLC25A25-AS1,MAGEB2
SLC25A25-AS1,OXT
SLC25A25-AS1,GATA1
SLC25A25-AS1,CA2
SLC25A25-AS1,PEX5L
SLC25A25-AS1,PCDHB10
SLC25A25-AS1,PLG
SLC25A25-AS1,POF1B
SLC25A25-AS1,BTN1A1
SLC25A25-AS1,SOX21
SLC25A25-AS1,FLRT3
SLC25A25-AS1,HAPLN2
SLC25A25-AS1,BHMT2
SLC25A25-AS1,RNU6ATAC18P
SLC25A25-AS1,PTMAP2
SLC25A25-AS1,PNMA6B
SLC25A25-AS1,OR2B6
SLC25A25-AS1,HRASLS
SLC25A25-AS1,PDGFC
SLC25A25-AS1,MSANTD1
SLC25A25-AS1,WNT1
SLC25A25-AS1,AURKC
SLC25A25-AS1,SOD3
SLC25A25-AS1,NLRP12
SLC25A25-AS1,OCSTAMP
SLC25A25-AS1,C1orf115
SLC25A25-AS1,CXCR1
SLC25A25-AS1,TNK2-AS1
SLC25A25-AS1,RFPL4AL1
SLC25A25-AS1,LINC01422
SLC25A25-AS1,PRR5-ARHGAP8
SLC25A25-AS1,ENPP7P9
SLC25A25-AS1,FGFBP1
SLC25A25-AS1,POU2F3
SLC25A25-AS1,CCL13
SLC25A25-AS1,TMEM119
SLC25A25-AS1,TNFAIP8L3
SLC25A25-AS1,LDLRAD2
SLC25A25-AS1,RPA4
SLC25A25-AS1,FAM83A-AS1
SLC25A25-AS1,OR7E91P
SLC25A25-AS1,IFITM5
SLC25A25-AS1,SNORD12C
SLC25A25-AS1,IGLV1-51
SLC25A25-AS1,VN2R17P
SLC25A25-AS1,C12orf71
SLC25A25-AS1,WWC3-AS1
SLC25A25-AS1,SDHDP6
SLC25A25-AS1,RPL22P12
SLC25A25-AS1,RPL27AP
SLC25A25-AS1,PRSS41
SLC25A25-AS1,WFDC10A
SLC25A25-AS1,STX19
SLC25A25-AS1,CASQ1
SLC25A25-AS1,TAGLN3
SLC25A25-AS1,CHRNA6
SLC25A25-AS1,MAGEA8
SLC25A25-AS1,PRAC1
SLC25A25-AS1,ASGR2
SLC25A25-AS1,NEXN
SLC25A25-AS1,SLC45A2
SLC25A25-AS1,DCSTAMP
SLC25A25-AS1,LMO1
SLC25A25-AS1,NEUROG2
SLC25A25-AS1,CD163
SLC25A25-AS1,TCERG1L
SLC25A25-AS1,GOLGA6L2
SLC25A25-AS1,LPAR3
SLC25A25-AS1,ANKRD40CL
SLC25A25-AS1,ACSM1
SLC25A25-AS1,MIR6510
SLC25A25-AS1,NTAN1P2
SLC25A25-AS1,ANKRD20A18P
SLC25A25-AS1,APOA1
SLC25A25-AS1,CD200R1L
SLC25A25-AS1,PPIAP19
SLC25A25-AS1,FRRS1
SLC25A25-AS1,MYO7B
SLC25A25-AS1,SNORD11
SLC25A25-AS1,SH3BP5-AS1
SLC25A25-AS1,NFE2L3P1
SLC25A25-AS1,CELA2B
SLC25A25-AS1,C6orf15
SLC25A25-AS1,HSFX1
SLC25A25-AS1,KRT8P33
SLC25A25-AS1,GRHL3
SLC25A25-AS1,TSPAN32
SLC25A25-AS1,LINC01473
SLC25A25-AS1,PLPP4
SLC25A25-AS1,NUDT11
SLC25A25-AS1,TEX36
SLC25A25-AS1,MIR4479
SLC25A25-AS1,FCER1G
SLC25A25-AS1,ENPP7P10
SLC25A25-AS1,SCARNA11
SLC25A25-AS1,RNU6-762P
SLC25A25-AS1,RNU6-1238P
SLC25A25-AS1,HMGN2P6
SLC25A25-AS1,PHBP19
SLC25A25-AS1,PRKXP1
SLC25A25-AS1,UBE2Q2P11
SLC25A25-AS1,MAGOH2P
SLC25A25-AS1,TBC1D3K
SLC25A25-AS1,MTCO1P1
SLC25A25-AS1,LINC02315
SLC25A25-AS1,ANKRD20A17P
SLC25A25-AS1,TUBBP1
SLC25A25-AS1,MAGEC3
SLC25A25-AS1,CES4A
SLC25A25-AS1,BAK1P1
SLC25A25-AS1,GPC5
SLC25A25-AS1,SNORA71D
SLC25A25-AS1,RNU6-880P
SLC25A25-AS1,PPIAP31
SLC25A25-AS1,HMGB1P49
SLC25A25-AS1,TXNP1
SLC25A25-AS1,UBE2V2P3
SLC25A25-AS1,C1QTNF9
SLC25A25-AS1,TMOD1
SLC25A25-AS1,GOLT1B
SLC25A25-AS1,EIF1B-AS1
SLC25A25-AS1,EIF1P6
SLC25A25-AS1,CEACAMP11
SLC25A25-AS1,EIF4G2
SLC25A25-AS1,TMC3
SLC25A25-AS1,KCNJ5
SLC25A25-AS1,LINC01503
SLC25A25-AS1,TPX2
SLC25A25-AS1,HLA-B
SLC25A25-AS1,RASSF8
SLC25A25-AS1,CXorf56
SLC25A25-AS1,ACTRT3
SLC25A25-AS1,RPS7
SLC25A25-AS1,RRM2
SLC25A25-AS1,TINAGL1
SLC25A25-AS1,TXNIP
SLC25A25-AS1,EIF3K
SLC25A25-AS1,MCAM
SLC25A25-AS1,CABIN1
SLC25A25-AS1,SERPINE1
SLC25A25-AS1,TMEM106C
SLC25A25-AS1,EWSR1
SLC25A25-AS1,LINC00680
SLC25A25-AS1,PPL
SLC25A25-AS1,ACOX1
SLC25A25-AS1,TBC1D9B
SLC25A25-AS1,BUB1
SLC25A25-AS1,DNAJB1
SLC25A25-AS1,AZI2
SLC25A25-AS1,TAGLN2
SLC25A25-AS1,ZNF66
SLC25A25-AS1,PHF24
SLC25A25-AS1,IDNK
SLC25A25-AS1,PIK3R6
SLC25A25-AS1,CXCL14
SLC25A25-AS1,AURKA
SLC25A25-AS1,SLC3A2
SLC25A25-AS1,ATP6
SLC25A25-AS1,SKI
SLC25A25-AS1,MUC1
SLC25A25-AS1,DDX41
SLC25A25-AS1,TMSB4X
SLC25A25-AS1,TMEM151A
SLC25A25-AS1,ANXA6
SLC25A25-AS1,BRD3
SLC25A25-AS1,TNFRSF1B
SLC25A25-AS1,CHMP4B
SLC25A25-AS1,FAM32A
SLC25A25-AS1,PSAT1
SLC25A25-AS1,SLK
SLC25A25-AS1,DIRAS1
SLC25A25-AS1,ERVK9-11
SLC25A25-AS1,SLC25A22
SLC25A25-AS1,CD70
SLC25A25-AS1,ATG4B
SLC25A25-AS1,UQCRH
SLC25A25-AS1,DIS3
SLC25A25-AS1,CLIC4
SLC25A25-AS1,SYNGAP1
SLC25A25-AS1,CDC34
SLC25A25-AS1,DAZAP2
SLC25A25-AS1,EPB41
SLC25A25-AS1,IGFL2-AS1
SLC25A25-AS1,KIF1C
SLC25A25-AS1,XKR7
SLC25A25-AS1,DDX17
SLC25A25-AS1,SIGMAR1
SLC25A25-AS1,RIC8A
SLC25A25-AS1,KRT19
SLC25A25-AS1,PFDN5
SLC25A25-AS1,PPP1R35
SLC25A25-AS1,NDUFS2
SLC25A25-AS1,CSNK1E
SLC25A25-AS1,ZNF316
SLC25A25-AS1,BCAS2
SLC25A25-AS1,KRT81
SLC25A25-AS1,TXNDC12
SLC25A25-AS1,NDUFC2
SLC25A25-AS1,POMT2
SLC25A25-AS1,AHNAK2
SLC25A25-AS1,CYGB
SLC25A25-AS1,CPT1A
SLC25A25-AS1,PLTP
SLC25A25-AS1,KRT13
SLC25A25-AS1,YBX2
SLC25A25-AS1,PLEC
SLC25A25-AS1,IGFBP4
SLC25A25-AS1,LAMP5
SLC25A25-AS1,SGPL1
SLC25A25-AS1,CHIC1
SLC25A25-AS1,KCTD11
SLC25A25-AS1,XRCC5
SLC25A25-AS1,TCOF1
SLC25A25-AS1,ORC3
SLC25A25-AS1,ANKRD1
SLC25A25-AS1,OPTN
SLC25A25-AS1,TBP
SLC25A25-AS1,PES1
SLC25A25-AS1,AHCY
SLC25A25-AS1,GSS
SLC25A25-AS1,CYTH1
SLC25A25-AS1,GLIS2
SLC25A25-AS1,GNAS
SLC25A25-AS1,PSME3
SLC25A25-AS1,MPDU1
SLC25A25-AS1,METRN
SLC25A25-AS1,EDAR
SLC25A25-AS1,MCM2
SLC25A25-AS1,CMBL
SLC25A25-AS1,SLC35C2
SLC25A25-AS1,CUL5
SLC25A25-AS1,PPIA
SLC25A25-AS1,LRRC28
SLC25A25-AS1,UQCR10
SLC25A25-AS1,SRRT
SLC25A25-AS1,IGSF8
SLC25A25-AS1,S100A4
SLC25A25-AS1,SLC44A3
SLC25A25-AS1,FHL1
SLC25A25-AS1,CARNMT1
SLC25A25-AS1,OPA3
SLC25A25-AS1,DDX6
SLC25A25-AS1,EPAS1
SLC25A25-AS1,TUBA1C
SLC25A25-AS1,GABBR1
SLC25A25-AS1,TOP2A
SLC25A25-AS1,BRIX1
SLC25A25-AS1,ATG9A
SLC25A25-AS1,LINC01273
SLC25A25-AS1,WIPI2
SLC25A25-AS1,BUD23
SLC25A25-AS1,MAPT
SLC25A25-AS1,MIEF1
SLC25A25-AS1,RAD54B
SLC25A25-AS1,CCNB1
SLC25A25-AS1,UBE2S
SLC25A25-AS1,RPL3
SLC25A25-AS1,TRIP6
SLC25A25-AS1,NCOR1
SLC25A25-AS1,PRNP
SLC25A25-AS1,HECTD1
SLC25A25-AS1,HRC
SLC25A25-AS1,SNX4
SLC25A25-AS1,ZFP91
SLC25A25-AS1,RPL7AP9
SLC25A25-AS1,H1F0
SLC25A25-AS1,FGF19
SLC25A25-AS1,CXCR4
SLC25A25-AS1,MMD
SLC25A25-AS1,ACTN1
SLC25A25-AS1,LIPE
SLC25A25-AS1,TMEM126A
SLC25A25-AS1,PLEKHA3
SLC25A25-AS1,CRMP1
SLC25A25-AS1,KIF21B
SLC25A25-AS1,YWHAZ
SLC25A25-AS1,GLE1
SLC25A25-AS1,ERLIN2
SLC25A25-AS1,S100A10
SLC25A25-AS1,GRHPR
SLC25A25-AS1,LAMA5
SLC25A25-AS1,EPHA2
SLC25A25-AS1,PLD6
SLC25A25-AS1,MAP3K14
SLC25A25-AS1,GPI
SLC25A25-AS1,COMTD1
SLC25A25-AS1,LCN2
SLC25A25-AS1,ROBO3
SLC25A25-AS1,DDRGK1
SLC25A25-AS1,GGA2
SLC25A25-AS1,PADI3
SLC25A25-AS1,PSMA4
SLC25A25-AS1,CTNNAL1
SLC25A25-AS1,ZC3H7B
SLC25A25-AS1,CCND1
SLC25A25-AS1,RTL10
SLC25A25-AS1,HR
SLC25A25-AS1,LRRC47
SLC25A25-AS1,FOXJ1
SLC25A25-AS1,MRPS5
SLC25A25-AS1,TSPAN17
SLC25A25-AS1,TMC6
SLC25A25-AS1,RAB31
SLC25A25-AS1,MIR22HG
SLC25A25-AS1,VASN
SLC25A25-AS1,HPS5
SLC25A25-AS1,CLUHP3
SLC25A25-AS1,CLUH
SLC25A25-AS1,RB1CC1
SLC25A25-AS1,KLK7
SLC25A25-AS1,CHERP
SLC25A25-AS1,MED24
SLC25A25-AS1,MT2A
SLC25A25-AS1,JAM3
SLC25A25-AS1,PERP
SLC25A25-AS1,METTL2B
SLC25A25-AS1,CDC6
SLC25A25-AS1,ACTB
SLC25A25-AS1,OLMALINC
SLC25A25-AS1,ZFP36L1
SLC25A25-AS1,SERPINA1
SLC25A25-AS1,C7orf50
SLC25A25-AS1,STRAP
SLC25A25-AS1,SLC7A8
SLC25A25-AS1,IER5
SLC25A25-AS1,DOT1L
SLC25A25-AS1,IRF7
SLC25A25-AS1,PHLDB1
SLC25A25-AS1,COQ8A
SLC25A25-AS1,RACGAP1
SLC25A25-AS1,SLAIN1
SLC25A25-AS1,TINF2
SLC25A25-AS1,MCM7
SLC25A25-AS1,DCAF12
SLC25A25-AS1,NUBP1
SLC25A25-AS1,EPS8L2
SLC25A25-AS1,STK24
SLC25A25-AS1,NRBP1
SLC25A25-AS1,ERP44
SLC25A25-AS1,LINC01116
SLC25A25-AS1,EVPL
SLC25A25-AS1,CEBPZ
SLC25A25-AS1,DANCR
SLC25A25-AS1,HDHD5
SLC25A25-AS1,FAT1
SLC25A25-AS1,PTK6
SLC25A25-AS1,SCARB2
SLC25A25-AS1,MVB12B
SLC25A25-AS1,ALDH1B1
SLC25A25-AS1,FBXL18
SLC25A25-AS1,CALM2
SLC25A25-AS1,CTNNB1
SLC25A25-AS1,MAPK9
SLC25A25-AS1,RNF157
SLC25A25-AS1,GRIPAP1
SLC25A25-AS1,HIST1H1C
SLC25A25-AS1,IQGAP1
SLC25A25-AS1,ATP5IF1
SLC25A25-AS1,DSTN
SLC25A25-AS1,RAB20
SLC25A25-AS1,CTSA
SLC25A25-AS1,AXIN2
SLC25A25-AS1,SLPI
SLC25A25-AS1,DEF8
SLC25A25-AS1,BCAM
SLC25A25-AS1,DKK3
SLC25A25-AS1,DDX20
SLC25A25-AS1,CAPN2
SLC25A25-AS1,OGDH
SLC25A25-AS1,NUP98
SLC25A25-AS1,F12
SLC25A25-AS1,CCNA2
SLC25A25-AS1,ATP8B3
SLC25A25-AS1,HNRNPA1P16
SLC25A25-AS1,TRA2B
SLC25A25-AS1,GATAD2A
SLC25A25-AS1,PTK7
SLC25A25-AS1,CENPQ
SLC25A25-AS1,DIP2A
SLC25A25-AS1,TMEM125
SLC25A25-AS1,FBRS
SLC25A25-AS1,HOXB9
SLC25A25-AS1,PDAP1
SLC25A25-AS1,BID
SLC25A25-AS1,MPP1
SLC25A25-AS1,QSOX2
SLC25A25-AS1,MRPL47
SLC25A25-AS1,CHKA
SLC25A25-AS1,PDLIM4
SLC25A25-AS1,BAIAP2L1
SLC25A25-AS1,TXNDC17
SLC25A25-AS1,H2AFX
SLC25A25-AS1,THOC3
SLC25A25-AS1,EFR3A
SLC25A25-AS1,RPS27
SLC25A25-AS1,PUF60
SLC25A25-AS1,EIF3C
SLC25A25-AS1,ALK
SLC25A25-AS1,TGM2
SLC25A25-AS1,C1orf174
SLC25A25-AS1,CHMP7
SLC25A25-AS1,SOX9
SLC25A25-AS1,MYL9
SLC25A25-AS1,TBC1D24
SLC25A25-AS1,TRIM55
SLC25A25-AS1,CD9
SLNCR1,HNRNPCP2
SLNCR1,STIP1P3
SLNCR1,PSG8-AS1
SLNCR1,SEPT7P3
SLNCR1,MTCO3P29
SLNCR1,ARMCX3-AS1
SLNCR1,LINC01159
SLNCR1,SRGAP2-AS1
SLNCR1,HNRNPA1P68
SLNCR1,PA2G4P6
SLNCR1,SNRPCP9
SLNCR1,RAB6D
SLNCR1,LINC02535
SLNCR1,CSNK1G2P1
SLNCR1,PCCA-AS1
SLNCR1,HMGA1P4
SLNCR1,RPF2P1
SLNCR1,RPS6P8
SLNCR1,LINC01044
SLNCR1,TRIM40
SLNCR1,BLACE
SLNCR1,SNORD37
SLNCR1,SNORD7
SLNCR1,MIR193A
SLNCR1,MIR10B
SLNCR1,MIR579
SLNCR1,MIR765
SLNCR1,C1QBPP2
SLNCR1,TPT1P13
SLNCR1,LDHAL6FP
SLNCR1,ADAMTS7P4
SLNCR1,TUBB8P2
SLNCR1,OR2A25
SLNCR1,CSNK1A1P1
SLNCR1,MORF4
SLNCR1,LINC02154
SLNCR1,HNRNPA3P11
SLNCR1,RUNX2-AS1
SLNCR1,MIR4324
SLNCR1,MIR4502
SLNCR1,RN7SL48P
SLNCR1,MIR132
SLNCR1,LDLRAD4-AS1
SLNCR1,LINC00528
SLNCR1,MIR6776
SLNCR1,MIR6738
SLNCR1,LINC01670
SLNCR1,LINC01127
SLNCR1,MIR6767
SLNCR1,FASN
SLNCR1,MYO10
SLNCR1,ENSAP2
SLNCR1,HSPA8P5
SLNCR1,RNU6-100P
SLNCR1,NDUFB9P2
SLNCR1,CYP51A1P1
SLNCR1,MARK3P3
SLNCR1,VSIG8
SLNCR1,EEF1A1P10
SLNCR1,MARK2P17
SLNCR1,LINC01411
SLNCR1,RBBP4P1
SLNCR1,ANKRD20A18P
SLNCR1,LINC01018
SLNCR1,KLHL2P1
SLNCR1,MTCO1P31
SLNCR1,HSPA8P19
SLNCR1,RNU7-3P
SLNCR1,RNU1-103P
SLNCR1,MYH9
SLNCR1,MIR421
SLNCR1,MAP1A
SLNCR1,RNF222
SLNCR1,PCDHA2
SLNCR1,RPS7P14
SLNCR1,TM6SF2
SLNCR1,ZNF812P
SLNCR1,SNX18P13
SLNCR1,LINC00689
SLNCR1,HOMER3-AS1
SLNCR1,BMPER
SLNCR1,INSM2
SLNCR1,CMAHP
SLNCR1,B3GNT8
SLNCR1,GPR52
SLNCR1,E2F3-IT1
SLNCR1,ST8SIA5
SLNCR1,CABCOCO1
SLNCR1,C9orf50
SLNCR1,NINJ2
SLNCR1,FN1
SLNCR1,DYNC1H1
SLNCR1,TBC1D16
SLNCR1,KTN1
SLNCR1,LINC00565
SLNCR1,PKP3
SLNCR1,S100A14
SLNCR1,GABRR2
SLNCR1,MAGEA4
SLNCR1,GRIA4
SLNCR1,C1QTNF9B
SLNCR1,CDC42P4
SLNCR1,CLNK
SLNCR1,C2orf50
SLNCR1,HSPB8
SLNCR1,UPK1B
SLNCR1,RNU6-879P
SLNCR1,C16orf46
SLNCR1,HMGN1P35
SLNCR1,GPR22
SLNCR1,LEP
SLNCR1,PCNPP5
SLNCR1,P2RY13
SLNCR1,FOXL2
SLNCR1,C12orf56
SLNCR1,LHFPL5
SLNCR1,DLGAP2
SLNCR1,RNU4-23P
SLNCR1,RNA5SP123
SLNCR1,RNU6-1255P
SLNCR1,RNU1-124P
SLNCR1,RNA5SP379
SLNCR1,OXGR1
SLNCR1,LAD1
SLNCR1,SDK1
SLNCR1,KLK10
SLNCR1,STARD6
SLNCR1,SLC25A41
SLNCR1,F7
SLNCR1,EPYC
SLNCR1,SLC15A1
SLNCR1,SLC26A3
SLNCR1,THEG
SLNCR1,TNNT2
SLNCR1,GRM4
SLNCR1,PRDM12
SLNCR1,FCRL2
SLNCR1,GIF
SLNCR1,RNF113B
SLNCR1,TM6SF1
SLNCR1,PTPN7
SLNCR1,8-Sep
SLNCR1,F2RL1
SLNCR1,TUBAP2
SLNCR1,MIR4449
SLNCR1,SLC39A5
SLNCR1,CCDC54
SLNCR1,MS4A6A
SLNCR1,ABCA12
SLNCR1,IKBIP
SLNCR1,RN7SL405P
SLNCR1,OVCH1-AS1
SLNCR1,AKR1E2
SLNCR1,HAR1A
SLNCR1,DDX39B-AS1
SLNCR1,MLEC
SLNCR1,ICK
SLNCR1,RPS19P3
SLNCR1,LAGE3P1
SLNCR1,IGSF22
SLNCR1,COX6B2
SLNCR1,GTF3C2-AS1
SLNCR1,WDR45
SLNCR1,LINC00595
SLNCR1,RPS20P33
SLNCR1,TRNL1
SLNCR1,SLC52A1
SLNCR1,LINC01535
SLNCR1,RYK
SLNCR1,GATA6
SLNCR1,TFRC
SLNCR1,SPATA2
SLNCR1,PAK2
SLNCR1,MC3R
SLNCR1,SCIN
SLNCR1,ERLIN2
SLNCR1,CNN2
SLNCR1,EHD1
SLNCR1,SMG1P6
SLNCR1,LINC01902
SLNCR1,KCNAB2
SLNCR1,SNORA26
SLNCR1,CRIM1
SLNCR1,TMEM131
SLNCR1,ELL2
SLNCR1,GOLM1
SLNCR1,ANO5
SLNCR1,FAM172A
SLNCR1,OPN1SW
SLNCR1,GADD45A
SLNCR1,CHTOP
SLNCR1,ADCY1
SLNCR1,POP4
SLNCR1,SGTA
SLNCR1,RUBCN
SLNCR1,STPG1
SLNCR1,REEP4
SLNCR1,ERF
SLNCR1,WDFY1
SLNCR1,LASP1
